Latitude,Longitude,Magnitude
-3.3818,146.404,5.2
1.61,128.5578,5
-5.4388,152.0728,5.2
17.8081,-102.2965,5
40.3094,143.6835,5.2
-23.8028,-66.6126,5.9
20.127,-45.5007,5.1
20.0362,-45.4193,5
20.0927,-45.4602,5.4
20.2778,-45.6575,5.4
20.2754,-45.5941,5
20.267,-45.6499,5
-31.669,-71.701,5.4
-7.1772,129.6047,5.5
-57.0947,-142.4382,5.9
-6.278,151.6661,5.5
5.2649,123.7966,5.5
42.2288,142.0037,5
-5.703,68.3485,5
-20.9551,169.0128,5.4
-30.7349,-71.5729,5
-30.8148,-71.3217,6.3
16.9923,145.896,5.2
1.2844,122.6907,5
-30.7302,-71.3766,5.2
-36.1551,-100.9621,5.2
-10.1917,160.5201,5.8
-0.6212,131.2622,6.6
50.7832,-130.2084,5.7
-38.2664,176.1333,5
-5.9788,103.5743,5.4
-31.6191,-71.9505,5
-15.9668,168.1307,5.3
-31.4441,-71.2653,6
13.0875,51.123,5.2
-5.9857,151.4085,5
-19.486,-173.3185,5.1
-31.7819,-71.6407,5.6
-2.5907,138.7013,5
-31.0458,-71.82,5.5
-31.7275,-71.3792,6.6
-31.0239,-71.7936,5.4
-57.3074,147.7187,5
-31.5757,-71.7431,6.1
-30.6249,-71.6818,5
-30.2379,-72.2743,5.1
-31.6769,-72.1565,5.1
-30.8468,-71.4623,5
-30.5256,-72.1984,5.6
-32.3335,-72.0629,6.2
-31.0999,-71.5902,5.7
-6.0845,151.369,5.3
-30.1004,-72.2316,5.4
-6.0125,151.5015,5.1
-29.6411,-72.077,6.1
-30.3796,-72.7513,5
3.5558,126.9805,5.1
-22.0982,169.9667,5
15.2767,-45.9886,6
-31.439,-71.807,5.2
-32.3681,-72.2292,6.2
-32.2292,-72.3678,5.6
-31.3611,-72.0302,5
-31.8294,-72.3019,5.1
-31.031,-71.8056,5.2
-29.9614,-71.8851,5.5
-32.3271,-71.9254,5
-29.7643,-72.086,5.3
-30.8916,-71.402,5.3
-30.9102,-71.9829,5.7
-32.1432,-72.3779,5.9
-32.9149,-71.6064,5.9
-32.1351,-72.2117,5.3
-30.9923,-71.4463,5.2
53.2985,159.7085,5.5
-18.5448,-69.1608,5.1
-31.8011,-72.1309,5.5
-31.3875,-71.9551,5.2
-31.2586,-71.8954,5.2
-30.966,-72.1317,5.1
-31.4167,-71.98,5.5
-30.8919,-71.386,5.4
-31.5173,-71.804,6.7
-30.813,-71.6796,5
-31.4711,-71.7377,5.1
-31.2244,-71.926,5.7
-31.4244,-71.6876,6.5
-30.922,-71.264,5.2
-30.9669,-71.5398,5.5
-31.982,-72.8506,5
-31.908,-72.0799,5
-31.1043,-71.6504,6.4
-31.5748,-71.7993,5.1
-31.7363,-72.0265,5.8
-30.4625,-72.0944,5.1
-31.6698,-71.8533,5.2
-31.6674,-72.2394,5
-31.087,-71.7617,5.1
-30.9073,-71.7026,5
-31.418,-71.8766,5
-31.7999,-72.1153,5.2
-30.8817,-71.6993,5.1
-31.7494,-72.1254,5
-31.7219,-72.0159,5
-31.4251,-71.8108,5
-31.0485,-71.4853,5.1
-30.4817,-72.1229,5.3
-31.7842,-72.0222,5.9
-31.7893,-72.2389,5.3
-31.3748,-71.8137,5.1
-31.4153,-71.8835,5.2
-29.9883,-71.7953,5.3
-31.0731,-71.6913,5.1
-30.7179,-71.8037,5.5
-31.1674,-71.772,5.7
-31.5622,-71.4262,7
-31.6,-71.9189,6.1
-30.2269,-71.197,5.2
-31.5743,-71.6717,5.7
-31.1055,-71.405,5.6
-31.7502,-71.7425,6.1
-31.618,-71.745,6.4
-31.5729,-71.6744,8.3
-6.0709,151.4996,5.1
-6.0592,151.5379,5.3
-5.965,151.5761,5
-6.0114,151.4768,6.1
24.2526,121.8286,5.2
1.8841,126.4288,6.3
-20.0288,-70.8032,5
24.2353,121.8676,5.3
-14.98,-172.7698,5
-33.1823,-109.4053,5.1
-16.6811,175.9658,5
-32.9675,-178.3587,5
24.9529,-109.7119,5.2
24.913,-109.6226,6.7
24.8094,-109.5138,5.6
24.9056,-109.6985,5.3
-29.3727,-177.4895,5.2
0.0422,123.4494,5.4
-0.7401,122.054,5
-6.1236,147.3658,5.5
-32.6066,-178.0287,5.9
-25.018,-177.0249,5.2
41.8968,142.6522,5.4
0.0177,124.3731,5
-31.661,-68.3557,5
-5.9172,146.5589,5
-5.982,146.6932,5.2
-5.9797,146.6564,5.5
14.5554,-93.8705,5.2
35.5042,139.9064,5.1
-33.1006,-178.3771,5
52.0985,-169.5349,6
36.0086,70.4897,5.4
2.2936,96.337,5.1
-56.1821,-27.5796,5
-49.5321,-116.3317,5.9
45.3188,150.4115,5.2
-59.5965,-26.1635,5.2
-32.7007,-178.3664,5
-33.1147,-178.2046,5.5
14.337,-94.137,5.7
-33.0304,-178.5336,5.8
-32.7244,-178.4685,5
-32.7721,-178.4296,5.2
-32.8265,-178.198,5.9
-32.9578,-178.231,5
-32.8199,-177.8599,6.3
-24.2427,179.1278,6
-9.7758,160.348,5.1
31.2807,141.8553,5
-25.0332,179.8707,5.1
17.0996,147.2691,5
-25.7802,-64.6856,5.2
-37.3417,78.1671,5.3
49.3613,155.6819,5.8
-37.908,-73.609,5.1
51.3307,-177.5423,5.3
51.3154,-174.2535,5
51.371,-174.3382,5.5
51.5128,-174.4467,5.2
51.4624,-174.4321,5.1
-8.043,107.2248,5.4
51.5022,-174.9162,5
40.9329,47.5328,5.4
29.2819,130.5968,5.2
37.1958,143.4691,5.4
-36.81,-72.579,5
2.0551,126.6816,5.5
-15.4727,-174.7047,5.2
14.1344,53.7851,5
4.4132,124.6314,5.7
14.0422,53.9077,5.3
-19.2237,167.7275,5
15.3905,-92.7217,5.4
-29.6825,178.6851,5.1
-19.785,-69.245,5.4
31.1806,141.6,6
